Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
1430516408143,1407,Load random friend,200,OK,Thread Group 1-67,text,true,1815,70,70,1406
1430516408289,1289,Login Page,200,OK,Thread Group 1-54,text,true,2375,70,70,1288
1430516408292,1299,Login Page,200,OK,Thread Group 1-55,text,true,2375,70,70,1299
1430516408310,1313,Load random friend,200,OK,Thread Group 1-65,text,true,1828,70,70,1313
1430516399640,10121,Login POST,200,OK,Thread Group 1-66,text,true,47750,70,70,7418
1430516399597,10229,Login POST,200,OK,Thread Group 1-68,text,true,47826,70,70,7361
1430516408357,1508,Login Page,200,OK,Thread Group 1-57,text,true,2375,70,70,1508
1430516408376,1523,Login Page,200,OK,Thread Group 1-59,text,true,2375,70,70,1523
1430516406086,4281,Login POST,200,OK,Thread Group 1-69,text,true,48012,70,70,2094
1430516406314,4123,Login POST,200,OK,Thread Group 1-70,text,true,47860,70,70,2001
1430516406339,4132,Login POST,200,OK,Thread Group 1-7,text,true,47983,70,70,1990
1430516408627,1903,Login Page,200,OK,Thread Group 1-56,text,true,2375,70,70,1903
